draft_name,document_found,recorded_group_name,recorded_group_acronym,recorded_group_type,is_recorded_wg,is_individual_submissions,filename_wg_candidates
draft-shiomoto-ccamp-switch-programming,1,Routing Area,rtg,area,0,0,ccamp
draft-shirasaki-dualstack-service,1,Internet Area,int,area,0,0,
draft-shirasaki-isp-shared-addr,1,Individual Submissions,none,individ,0,1,
draft-shirasaki-nat444,1,Individual Submissions,none,individ,0,1,
draft-shirasaki-nat444-isp-shared-addr,1,Individual Submissions,none,individ,0,1,
draft-shirey-secgloss-v2,1,General Area,gen,area,0,0,
draft-shirey-security-glossary,1,Individual Submissions,none,individ,0,1,
draft-shirey-ugli,1,Individual Submissions,none,individ,0,1,
draft-shiroshita-rmtp-spec,1,Individual Submissions,none,individ,0,1,
draft-shiroshita-rmtpv2,1,Individual Submissions,none,individ,0,1,
draft-shishio-bmwg-copp,1,Individual Submissions,none,individ,0,1,bmwg
draft-shishio-grow-isp-rfd-implement-survey,1,Individual Submissions,none,individ,0,1,grow
draft-shishio-ospf-ospfv3-stub,1,Individual Submissions,none,individ,0,1,ospf
draft-shishio-softwire-rfc4087update,1,Individual Submissions,none,individ,0,1,softwire
draft-shishio-v6ops-dpvt,1,Individual Submissions,none,individ,0,1,v6ops
draft-shiva-improved-lowlatency-handoff-v4,1,Individual Submissions,none,individ,0,1,
draft-shiva-mobileip-multimode-terminals-v4,1,Individual Submissions,none,individ,0,1,mobileip
draft-shivani-mpls-ldp-capability,1,Individual Submissions,none,individ,0,1,mpls
draft-shivkuma-ecn-diffserv,1,Individual Submissions,none,individ,0,1,diffserv
draft-shivkumar-ldapext-dirtxn,1,Individual Submissions,none,individ,0,1,ldapext
draft-shmoo-async,1,Individual Submissions,none,individ,0,1,shmoo
draft-shockey-ddds-pki,1,Individual Submissions,none,individ,0,1,
draft-shockey-e164toifax,1,Individual Submissions,none,individ,0,1,
draft-shockey-enum-cnam,1,Individual Submissions,none,individ,0,1,enum
draft-shockey-enum-privacy-security,1,Individual Submissions,none,individ,0,1,enum
draft-shockey-enum-trunkgroup,1,Individual Submissions,none,individ,0,1,enum
draft-shockey-ipp2ifax,1,Individual Submissions,none,individ,0,1,
draft-shockey-ipp2ifax-goals,1,Individual Submissions,none,individ,0,1,
draft-shoemaker-acme-ip,1,Individual Submissions,none,individ,0,1,acme
draft-shoemaker-acme-onion,1,Individual Submissions,none,individ,0,1,acme
draft-shoemaker-acme-tls-alpn,1,Individual Submissions,none,individ,0,1,acme;tls
draft-shoemaker-caa-ip,1,Individual Submissions,none,individ,0,1,
draft-shore-afwc,1,Individual Submissions,none,individ,0,1,
draft-shore-alias-fw,1,Individual Submissions,none,individ,0,1,
draft-shore-friendly-midcom,1,Individual Submissions,none,individ,0,1,midcom
draft-shore-h323-firewalls,1,Individual Submissions,none,individ,0,1,
draft-shore-icmp-aup,1,Individual Submissions,none,individ,0,1,
draft-shore-midcom-apps,1,Individual Submissions,none,individ,0,1,midcom
draft-shore-midcom-protos,1,Individual Submissions,none,individ,0,1,midcom
draft-shore-nat-reachability,1,Individual Submissions,none,individ,0,1,nat
draft-shore-nls-fw,1,Individual Submissions,none,individ,0,1,
draft-shore-nls-tl,1,Individual Submissions,none,individ,0,1,
draft-shore-ntlp,1,Individual Submissions,none,individ,0,1,
draft-shore-nvo3-middleboxes,1,Individual Submissions,none,individ,0,1,nvo3
draft-shore-stun-signaling,1,Individual Submissions,none,individ,0,1,
draft-shore-tist-prot,1,Individual Submissions,none,individ,0,1,
draft-shore-tls-dnssec-chain-extension,1,Individual Submissions,none,individ,0,1,dnssec;tls
draft-shore-trust-problemstatement,1,Individual Submissions,none,individ,0,1,
draft-short-avt-rtp-vorbis-mime,1,Individual Submissions,none,individ,0,1,avt
draft-short-pkinit-freshness,1,Individual Submissions,none,individ,0,1,
draft-showalter-imap-id,1,Individual Submissions,none,individ,0,1,imap
draft-showalter-sieve,1,Applications Area,app,area,0,0,sieve
