lineage_id,publication_outcome,lineage_revision_count,lineage_activity_duration_years,lineage_length,wg_assignment,wg_count,author_count,organisation_count,cross_organisation,affiliation_mapped_records,affiliation_unresolved_records
draft-acee-ospf-multi-instance,Unsuccessful,2,0.6023271731690623,1,No recorded WG,0,3,1,False,1,2
draft-acee-ospf-ospfv3-autoconfig,Unsuccessful,4,0.7173169062286106,1,No recorded WG,0,2,1,False,2,0
draft-acee-ospf-prefix-link-attr-impl,Unsuccessful,4,0.0054757015742642025,1,No recorded WG,0,1,1,False,1,0
draft-acee-ospf-rfc4970bis,Unsuccessful,1,0.0,1,No recorded WG,0,5,2,True,4,1
draft-acee-ospf-rfc6506bis,Unsuccessful,4,0.12594113620807665,1,No recorded WG,0,3,1,False,1,2
draft-acee-ospf-transport-instance,Unsuccessful,3,0.4216290212183436,1,No recorded WG,0,3,1,False,2,1
draft-acee-ospfv3-lsa-extend,Unsuccessful,3,0.3613963039014374,1,No recorded WG,0,4,2,True,4,0
draft-acee-rtg-yang-key-chain,Successful,35,2.409308692676249,2,Recorded WG,1,6,4,True,9,2
draft-acee-rtgwg-vrrp-rfc8347bis,Ongoing,7,1.5578370978781657,1,No recorded WG,0,5,0,False,0,5
draft-acee-rtgwg-yang-rib-extend,Successful,36,8.0,2,Recorded WG,1,2,3,True,3,1
draft-acg-mboned-deprecate-interdomain-asm,Unsuccessful,6,1.9822039698836413,2,No recorded WG,0,4,2,True,3,4
draft-achanta-dhc-ap-options,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-acharya-ipsecme-esp-ecmp,Ongoing,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-acharya-ipsofacto-mpls-mcast,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-acharya-ipsw-fast-cell,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-achi-rpki-signed-object,Unsuccessful,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-ackerman-temporal-integrity-metadata,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-ackermann-ntp-pdm-ntp-usage,Unsuccessful,1,0.0,1,No recorded WG,0,4,0,False,0,4
draft-ackermann-tictoc-pdm-ntp-usage,Unsuccessful,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-acme-ari,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-acme-device-attest,Ongoing,11,3.5592060232717317,2,Recorded WG,1,3,1,False,1,3
draft-activity-identifiers,Unsuccessful,2,3.1786447638603694,1,No recorded WG,0,1,0,False,0,1
draft-actn-requirement,Unsuccessful,3,0.03559206023271732,1,No recorded WG,0,4,2,True,2,2
draft-adam-gsmp-min-resource,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-adam-gsmp-qgsmp,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adam-gsmp-service,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-adam-gsmp-sr,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-adams-arc-experiment-conclusion,Ongoing,3,0.3860369609856263,2,Recorded WG,1,2,0,False,0,4
draft-adams-bimi-reporting,Ongoing,12,5.108829568788501,1,No recorded WG,0,2,0,False,0,2
draft-adams-cast-256,Successful,0,,1,No recorded WG,0,2,0,False,0,2
draft-adams-cmpaltcert,Successful,0,,1,No recorded WG,0,2,0,False,0,2
draft-adams-dcs,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adams-notary,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adams-qos-broadband,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adams-time-stamp,Unknown,0,,1,No recorded WG,0,4,0,False,0,4
draft-adams-tsvwg-flow-signaling-identification,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-adams-tsvwg-flow-signalling-codepoint,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adamson-elasticmcast,Unsuccessful,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-adamson-ipng-radio-req,Successful,0,,1,No recorded WG,0,1,0,False,0,1
draft-adamson-nfsv4-multi-domain-access,Unsuccessful,5,1.6919917864476386,1,No recorded WG,0,3,1,False,1,2
draft-adamson-nfsv4-multi-domain-federated-fs-reqs,Unsuccessful,6,1.9876796714579055,1,No recorded WG,0,2,0,False,0,2
draft-adamson-nfsv4-spkm3,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adamson-rfc2847-bis,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-adamson-roca-rmtsec-issues,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adan-idr-tidr,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-add-ackfreq-to-tcp,Unsuccessful,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-add-location-to-ipv6-header,Unsuccessful,2,0.5037645448323066,1,No recorded WG,0,1,0,False,0,1
draft-addogra-rtgwg-vrrp-rfc5798bis,Ongoing,13,0.3394934976043806,1,No recorded WG,0,2,1,False,2,0
draft-adel-vpn-service-management-model,Unsuccessful,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-adell-client-roaming,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-adid-urn,Successful,4,0.7665982203969883,1,No recorded WG,0,1,0,False,0,1
draft-adie-shave,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-adie-spci,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-adjih-dragoncast,Unsuccessful,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-adjih-manet-autoconf-detect,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adkp-grow-ixpcommunities,Unsuccessful,1,0.0,1,No recorded WG,0,4,1,False,1,3
draft-adligo-hybi-asbp,Unsuccessful,3,0.5092402464065708,1,No recorded WG,0,2,0,False,0,2
draft-admnr-lsr-igp-measurement-group,Ongoing,1,0.0,1,No recorded WG,0,5,0,False,0,5
draft-adolf-dvb-urn,Successful,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-adolf-dvb-urn-upd,Successful,2,0.11498973305954825,1,No recorded WG,0,2,0,False,0,2
draft-adpkja-dnsop-special-names-problem,Unsuccessful,7,0.8952772073921971,1,No recorded WG,0,4,1,False,1,3
draft-adrangi-eap-network-discovery,Successful,0,,1,No recorded WG,0,4,2,True,3,1
draft-adrangi-eap-network-discovery-and-selection,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adrangi-mipv4-midbox-traversal,Unknown,0,,1,No recorded WG,0,2,1,False,2,0
draft-adrangi-mobileip-nat-vpn-problem-stat-req,Unknown,0,,1,No recorded WG,0,2,1,False,2,0
draft-adrangi-mobileip-vpn-traversal,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-adrangi-radius-attributes-extension,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adrangi-radius-bandwidth-capability,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adrangi-radius-chargeable-user-identity,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adrangi-radius-extension-for-pwlan,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adrangi-radius-issues-in-pwlan-roaming,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adrangi-radius-location-information-attribut,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adrangi-radiusext-location-information,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-adubey-bfd-service-redundancy,Unsuccessful,4,2.6940451745379876,1,No recorded WG,0,3,1,False,1,2
draft-adwankar-netconf-datamodel,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-adwankar-netconf-reporting,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-adwankar-netconf-symple,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aeble-ooo-replies,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aelhassany-anydata-validation,Ongoing,5,1.7494866529774127,3,Recorded WG,1,2,0,False,0,5
draft-aevum-agentcard,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-aevum-causal-intervention-record,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-aevum-itt-l,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-aevum-wlp,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-afifi-igprs,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-afifi-sixtel,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-afrind-moq-test,Ongoing,2,0.34496919917864477,1,No recorded WG,0,1,0,False,0,1
draft-afrvrd-dnsop-stateful-hbs-for-dnssec,Ongoing,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-aft-ai-traffic,Ongoing,3,0.5092402464065708,2,No recorded WG,0,4,1,False,8,0
draft-aft-detnet-bound-delay-queue,Ongoing,5,1.949349760438056,1,No recorded WG,0,1,1,False,1,0
draft-agache-tcpm-sndbufadv,Unsuccessful,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-agapi-ini-gwloc,Unknown,0,,1,No recorded WG,0,5,0,False,0,5
draft-agarwal-bgp-proxy-community,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-agarwal-intarea-mams-protocol-json,Successful,15,2.863791923340178,4,No recorded WG,0,8,4,True,17,6
draft-agarwal-mpls-ttl,Unknown,0,,1,No recorded WG,0,2,1,False,1,1
draft-age-masque-connect-ip,Ongoing,2,0.010951403148528405,1,Recorded WG,1,5,3,True,5,0
draft-ageneau-ccwg-ndtc,Ongoing,2,0.36960985626283366,1,No recorded WG,0,3,0,False,0,3
draft-agent-gw,Ongoing,2,0.04106776180698152,1,No recorded WG,0,4,1,False,3,1
draft-agentic-ai-usecases-requirements,Ongoing,1,0.0,1,No recorded WG,0,3,2,True,3,0
draft-agentir-aepp,Ongoing,3,0.02190280629705681,1,No recorded WG,0,1,0,False,0,1
draft-aggarwal-dnssd-optimize-query,Unsuccessful,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-aggarwal-nfsv4-cksum,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aggarwal-pip-reqts,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-aggarwal-services,Successful,0,,1,No recorded WG,0,0,0,False,0,0
draft-aghule-intarea-oam,Ongoing,2,0.0027378507871321013,1,No recorded WG,0,2,1,False,2,0
draft-agl-cfrgcurve,Unsuccessful,1,0.0,1,No recorded WG,0,1,1,False,1,0
draft-agl-ckdf,Unsuccessful,2,0.008213552361396304,1,No recorded WG,0,1,1,False,1,0
draft-agl-dane-serializechain,Unsuccessful,2,0.008213552361396304,1,No recorded WG,0,1,1,False,1,0
draft-agl-tcpm-sadata,Unsuccessful,2,0.057494866529774126,1,No recorded WG,0,1,1,False,1,0
draft-agl-tls-chacha20poly1305,Unsuccessful,5,0.1998631074606434,1,No recorded WG,0,2,1,False,2,0
draft-agl-tls-encryptedclientcerts,Unsuccessful,1,0.0,1,No recorded WG,0,1,1,False,1,0
draft-agl-tls-nextproto,Unsuccessful,1,0.0,1,No recorded WG,0,2,1,False,1,1
draft-agl-tls-nextprotoneg,Unsuccessful,5,2.3326488706365502,1,No recorded WG,0,1,1,False,1,0
draft-agl-tls-padding,Unsuccessful,4,0.13689253935660506,1,No recorded WG,0,1,1,False,1,0
draft-agl-tls-snapstart,Unsuccessful,1,0.0,1,No recorded WG,0,1,1,False,1,0
draft-ago-spirits-icw,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-agrawal-bess-bgp-srv6-mpls-interworking,Ongoing,2,1.7467488021902806,1,No recorded WG,0,7,2,True,5,2
draft-agrawal-roy-palawat-sip-h323-interworking,Unknown,0,,1,No recorded WG,0,3,0,False,0,3
draft-agrawal-sip-h323-interworking,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-agrawal-sip-h323-interworking-reqs,Successful,0,,1,No recorded WG,0,2,0,False,0,2
draft-agrawal-spring-srv6-mpls-interworking,Ongoing,16,5.8699520876112254,1,Recorded WG,1,6,3,True,4,2
draft-agraz-ccamp-wson-impairment-ospf,Unsuccessful,1,0.0,1,No recorded WG,0,4,1,False,1,3
draft-agraz-ccamp-wson-impairment-rsvp,Unsuccessful,1,0.0,1,No recorded WG,0,5,1,False,2,3
draft-agrewal-idr-accept-own-nexthop,Unsuccessful,1,0.0,1,No recorded WG,0,3,1,False,3,0
draft-agt-rtgwg-dragonfly-routing,Ongoing,2,0.6516084873374401,1,No recorded WG,0,3,0,False,0,3
draft-aguado-opsawg-l3sm-l3nm,Unsuccessful,3,0.34496919917864477,1,Recorded WG,1,5,1,False,1,4
draft-aguilar-lpwan-schc-convergence,Ongoing,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-aguilar-lpwan-schc-streaming,Ongoing,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-aguilar-schc-convergence,Ongoing,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-aguilar-schc-streaming,Ongoing,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-agupta-payload-rtp-evrc-nw2k,Unsuccessful,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-agurmukhani-test-spec-sua,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-agv-netmod-yang-annotation-ds-and-derived,Unsuccessful,2,1.404517453798768,2,No recorded WG,0,6,0,False,0,6
draft-agv-netmod-yang-compiler-metadata,Unsuccessful,2,0.02737850787132101,1,No recorded WG,0,1,0,False,0,1
draft-agv-rtgwg-mrt-oam-requirements-and-usecases,Unsuccessful,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-agv-rtgwg-spring-segment-routing-mrt,Unsuccessful,4,0.8898015058179329,1,No recorded WG,0,4,1,False,1,3
draft-agv-sfc-packet-delay-measurement,Unsuccessful,3,0.5475701574264202,2,No recorded WG,0,1,0,False,0,2
draft-agv-sfc-packet-loss-measurement,Unsuccessful,3,0.5475701574264202,2,No recorded WG,0,1,0,False,0,2
draft-agv-sfc-performance-measurement-architecture,Unsuccessful,4,0.5475701574264202,2,No recorded WG,0,4,0,False,0,5
draft-ah-dnsext-rfc1995bis-ixfr,Unsuccessful,4,1.3908281998631074,1,No recorded WG,0,2,0,False,0,2
draft-ah-rfc2141bis-urn,Unsuccessful,3,0.1834360027378508,1,No recorded WG,0,1,0,False,0,1
draft-ahc-green-smartpdu-yang,Ongoing,1,0.0,1,No recorded WG,0,3,1,False,2,1
