rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,latest_rev,document_time,first_posted_submission,first_document_event,candidate_first_date,date_source,publication_year
/api/v1/doc/document/rfc3862/,3862,rfc3862,Common Presence and Instant Messaging (CPIM): Message Format,2004-08-18 00:25:29+00:00,/api/v1/doc/document/draft-ietf-impp-cpim-msgfmt/,/api/v1/doc/document/draft-ietf-impp-cpim-msgfmt/,0,draft-ietf-impp-cpim-msgfmt,08,2015-10-14 20:50:10+00:00,,2001-02-12 08:00:00+00:00,2001-02-12 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3863/,3863,rfc3863,Presence Information Data Format (PIDF),2004-08-18 00:27:12+00:00,/api/v1/doc/document/draft-ietf-impp-cpim-pidf/,/api/v1/doc/document/draft-ietf-impp-cpim-pidf/,0,draft-ietf-impp-cpim-pidf,08,2020-01-21 08:25:47+00:00,,2001-08-16 07:00:00+00:00,2001-08-16 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3833/,3833,rfc3833,Threat Analysis of the Domain Name System (DNS),2004-08-24 23:57:48+00:00,/api/v1/doc/document/draft-ietf-dnsext-dns-threats/,/api/v1/doc/document/draft-ietf-dnsext-dns-threats/,0,draft-ietf-dnsext-dns-threats,07,2015-10-14 20:50:23+00:00,,2001-11-19 08:00:00+00:00,2001-11-19 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3869/,3869,rfc3869,IAB Concerns and Recommendations Regarding Internet Research and Evolution,2004-08-25 00:00:29+00:00,/api/v1/doc/document/draft-iab-research-funding/,/api/v1/doc/document/draft-iab-research-funding/,0,draft-iab-research-funding,03,2015-10-14 20:50:42+00:00,,2003-02-20 08:00:00+00:00,2003-02-20 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3834/,3834,rfc3834,Recommendations for Automatic Responses to Electronic Mail,2004-08-25 23:43:27+00:00,/api/v1/doc/document/draft-moore-auto-email-response/,/api/v1/doc/document/draft-moore-auto-email-response/,0,draft-moore-auto-email-response,05,2020-01-21 08:25:46+00:00,,2002-06-07 07:00:00+00:00,2002-06-07 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3830/,3830,rfc3830,MIKEY: Multimedia Internet KEYing,2004-08-27 23:56:21+00:00,/api/v1/doc/document/draft-ietf-msec-mikey/,/api/v1/doc/document/draft-ietf-msec-mikey/,0,draft-ietf-msec-mikey,08,2020-01-21 08:25:45+00:00,,2001-11-13 08:00:00+00:00,2001-11-13 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3844/,3844,rfc3844,IETF Problem Resolution Process,2004-08-27 23:58:14+00:00,/api/v1/doc/document/draft-ietf-problem-process/,/api/v1/doc/document/draft-ietf-problem-process/,0,draft-ietf-problem-process,04,2015-10-14 20:50:46+00:00,,2003-05-12 07:00:00+00:00,2003-05-12 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3840/,3840,rfc3840,Indicating User Agent Capabilities in the Session Initiation Protocol (SIP),2004-08-31 15:41:34+00:00,/api/v1/doc/document/draft-ietf-sip-callee-caps/,/api/v1/doc/document/draft-ietf-sip-callee-caps/,0,draft-ietf-sip-callee-caps,03,2015-10-14 20:50:49+00:00,,2003-06-26 07:00:00+00:00,2003-06-26 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3841/,3841,rfc3841,Caller Preferences for the Session Initiation Protocol (SIP),2004-08-31 15:43:33+00:00,/api/v1/doc/document/draft-ietf-sip-callerprefs/,/api/v1/doc/document/draft-ietf-sip-callerprefs/,0,draft-ietf-sip-callerprefs,10,2015-10-14 20:49:58+00:00,,1999-10-28 07:00:00+00:00,1999-10-28 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3842/,3842,rfc3842,A Message Summary and Message Waiting Indication Event Package for the Session Initiation Protocol (SIP),2004-08-31 15:45:46+00:00,/api/v1/doc/document/draft-ietf-sipping-mwi/,/api/v1/doc/document/draft-ietf-sipping-mwi/,0,draft-ietf-sipping-mwi,04,2015-10-14 20:50:32+00:00,,2002-06-20 07:00:00+00:00,2002-06-20 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3856/,3856,rfc3856,A Presence Event Package for the Session Initiation Protocol (SIP),2004-08-31 15:49:32+00:00,/api/v1/doc/document/draft-ietf-simple-presence/,/api/v1/doc/document/draft-ietf-simple-presence/,0,draft-ietf-simple-presence,10,2020-01-21 08:25:47+00:00,,2001-04-02 07:00:00+00:00,2001-04-02 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3857/,3857,rfc3857,A Watcher Information Event Template-Package for the Session Initiation Protocol (SIP),2004-08-31 15:54:02+00:00,/api/v1/doc/document/draft-ietf-simple-winfo-package/,/api/v1/doc/document/draft-ietf-simple-winfo-package/,0,draft-ietf-simple-winfo-package,05,2018-07-18 18:10:09+00:00,,2001-07-19 07:00:00+00:00,2001-07-19 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3858/,3858,rfc3858,An Extensible Markup Language (XML) Based Format for Watcher Information,2004-08-31 15:55:08+00:00,/api/v1/doc/document/draft-ietf-simple-winfo-format/,/api/v1/doc/document/draft-ietf-simple-winfo-format/,0,draft-ietf-simple-winfo-format,04,2018-07-18 18:10:11+00:00,,2001-07-18 07:00:00+00:00,2001-07-18 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3835/,3835,rfc3835,An Architecture for Open Pluggable Edge Services (OPES),2004-08-31 23:45:39+00:00,/api/v1/doc/document/draft-ietf-opes-architecture/,/api/v1/doc/document/draft-ietf-opes-architecture/,0,draft-ietf-opes-architecture,04,2015-10-14 20:50:31+00:00,,2002-05-03 07:00:00+00:00,2002-05-03 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3836/,3836,rfc3836,Requirements for Open Pluggable Edge Services (OPES) Callout Protocols,2004-08-31 23:46:36+00:00,/api/v1/doc/document/draft-ietf-opes-protocol-reqs/,/api/v1/doc/document/draft-ietf-opes-protocol-reqs/,0,draft-ietf-opes-protocol-reqs,03,2015-10-14 20:50:31+00:00,,2002-05-28 07:00:00+00:00,2002-05-28 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3837/,3837,rfc3837,Security Threats and Risks for Open Pluggable Edge Services (OPES),2004-08-31 23:48:41+00:00,/api/v1/doc/document/draft-ietf-opes-threats/,/api/v1/doc/document/draft-ietf-opes-threats/,0,draft-ietf-opes-threats,03,2015-10-14 20:50:37+00:00,,2002-10-21 07:00:00+00:00,2002-10-21 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3838/,3838,rfc3838,"Policy, Authorization, and Enforcement Requirements of the Open Pluggable Edge Services (OPES)",2004-08-31 23:49:38+00:00,/api/v1/doc/document/draft-ietf-opes-authorization/,/api/v1/doc/document/draft-ietf-opes-authorization/,0,draft-ietf-opes-authorization,03,2015-10-14 20:50:36+00:00,,2002-09-03 07:00:00+00:00,2002-09-03 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3870/,3870,rfc3870,application/rdf+xml Media Type Registration,2004-09-15 00:31:19+00:00,/api/v1/doc/document/draft-swartz-rdfcore-rdfxml-mediatype/,/api/v1/doc/document/draft-swartz-rdfcore-rdfxml-mediatype/,0,draft-swartz-rdfcore-rdfxml-mediatype,05,2015-10-14 20:50:30+00:00,,2002-04-05 08:00:00+00:00,2002-04-05 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3871/,3871,rfc3871,Operational Security Requirements for Large Internet Service Provider (ISP) IP Network Infrastructure,2004-09-15 00:31:25+00:00,/api/v1/doc/document/draft-jones-opsec/,/api/v1/doc/document/draft-jones-opsec/,0,draft-jones-opsec,06,2015-10-14 20:50:46+00:00,,2003-06-09 07:00:00+00:00,2003-06-09 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3874/,3874,rfc3874,A 224-bit One-way Hash Function: SHA-224,2004-09-15 00:33:29+00:00,/api/v1/doc/document/draft-ietf-pkix-sha224/,/api/v1/doc/document/draft-ietf-pkix-sha244/,1,draft-ietf-pkix-sha244,02,2003-12-18 08:00:00+00:00,,2003-12-05 08:00:00+00:00,2003-12-05 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3874/,3874,rfc3874,A 224-bit One-way Hash Function: SHA-224,2004-09-15 00:33:29+00:00,/api/v1/doc/document/draft-ietf-pkix-sha224/,/api/v1/doc/document/draft-ietf-pkix-sha224/,0,draft-ietf-pkix-sha224,01,2017-10-13 21:08:37+00:00,,2004-01-14 08:00:00+00:00,2004-01-14 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3876/,3876,rfc3876,Returning Matched Values with the Lightweight Directory Access Protocol version 3 (LDAPv3),2004-09-15 00:34:23+00:00,/api/v1/doc/document/draft-ietf-ldapext-matchedval/,/api/v1/doc/document/draft-ietf-ldapext-matchedval/,0,draft-ietf-ldapext-matchedval,07,2015-10-14 20:49:57+00:00,,1999-08-20 07:00:00+00:00,1999-08-20 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3879/,3879,rfc3879,Deprecating Site Local Addresses,2004-09-15 00:36:02+00:00,/api/v1/doc/document/draft-ietf-ipv6-deprecate-site-local/,/api/v1/doc/document/draft-ietf-ipv6-deprecate-site-local/,0,draft-ietf-ipv6-deprecate-site-local,03,2013-03-02 16:58:07+00:00,,2003-08-26 07:00:00+00:00,2003-08-26 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3864/,3864,rfc3864,Registration Procedures for Message Header Fields,2004-09-18 00:47:15+00:00,/api/v1/doc/document/draft-klyne-msghdr-registry/,/api/v1/doc/document/draft-klyne-msghdr-registry/,0,draft-klyne-msghdr-registry,07,2015-10-14 20:50:20+00:00,,2001-09-27 07:00:00+00:00,2001-09-27 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3865/,3865,rfc3865,A No Soliciting Simple Mail Transfer Protocol (SMTP) Service Extension,2004-09-18 00:47:17+00:00,/api/v1/doc/document/draft-malamud-no-soliciting/,/api/v1/doc/document/draft-malamud-no-soliciting/,0,draft-malamud-no-soliciting,07,2015-10-14 20:50:49+00:00,,2003-07-24 07:00:00+00:00,2003-07-24 07:00:00+00:00,docevent,2004
