rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,draft_name,lineage_depth,rev,submission_date,state,publication_year
/api/v1/doc/document/rfc5234/,5234,rfc5234,Augmented BNF for Syntax Specifications: ABNF,2008-02-01 01:24:14+00:00,/api/v1/doc/document/draft-crocker-rfc4234bis/,/api/v1/doc/document/draft-crocker-rfc4234bis/,draft-crocker-rfc4234bis,0,01,2007-10-09,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5117/,5117,rfc5117,RTP Topologies,2008-02-01 01:24:23+00:00,/api/v1/doc/document/draft-ietf-avt-topologies/,/api/v1/doc/document/draft-ietf-avt-topologies/,draft-ietf-avt-topologies,0,06,2007-08-01,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5117/,5117,rfc5117,RTP Topologies,2008-02-01 01:24:23+00:00,/api/v1/doc/document/draft-ietf-avt-topologies/,/api/v1/doc/document/draft-ietf-avt-topologies/,draft-ietf-avt-topologies,0,07,2007-10-26,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5176/,5176,rfc5176,Dynamic Authorization Extensions to Remote Authentication Dial In User Service (RADIUS),2008-02-01 01:24:31+00:00,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,draft-ietf-radext-rfc3576bis,0,10,2007-10-04,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5176/,5176,rfc5176,Dynamic Authorization Extensions to Remote Authentication Dial In User Service (RADIUS),2008-02-01 01:24:31+00:00,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,draft-ietf-radext-rfc3576bis,0,11,2007-10-17,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5176/,5176,rfc5176,Dynamic Authorization Extensions to Remote Authentication Dial In User Service (RADIUS),2008-02-01 01:24:31+00:00,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,draft-ietf-radext-rfc3576bis,0,12,2007-10-18,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5176/,5176,rfc5176,Dynamic Authorization Extensions to Remote Authentication Dial In User Service (RADIUS),2008-02-01 01:24:31+00:00,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,draft-ietf-radext-rfc3576bis,0,13,2007-10-21,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5135/,5135,rfc5135,IP Multicast Requirements for a Network Address Translator (NAT) and a Network Address Port Translator (NAPT),2008-02-07 23:33:31+00:00,/api/v1/doc/document/draft-ietf-behave-multicast/,/api/v1/doc/document/draft-ietf-behave-multicast/,draft-ietf-behave-multicast,0,11,2007-10-04,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5135/,5135,rfc5135,IP Multicast Requirements for a Network Address Translator (NAT) and a Network Address Port Translator (NAPT),2008-02-07 23:33:31+00:00,/api/v1/doc/document/draft-ietf-behave-multicast/,/api/v1/doc/document/draft-ietf-behave-multicast/,draft-ietf-behave-multicast,0,12,2007-11-08,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5107/,5107,rfc5107,DHCP Server Identifier Override Suboption,2008-02-07 23:33:43+00:00,/api/v1/doc/document/draft-ietf-dhc-server-override/,/api/v1/doc/document/draft-ietf-dhc-server-override/,draft-ietf-dhc-server-override,0,05,2007-11-16,/api/v1/name/draftsubmissionstatename/posted/,2008
