resource_uri,rfc_number,rfc_name,title,pages,words,stream,group_uri,publication_time,group_acronym,group_name,group_type,parent_group_uri,parent_acronym,parent_name,parent_type,publication_year,stream_slug,group_type_slug,parent_type_slug,raw_area,area_category
/api/v1/doc/document/rfc3883/,3883,rfc3883,Detecting Inactive Neighbors over OSPF Demand Circuits (DC),6,1770.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1188/,2004-10-05 23:20:24+00:00,ospf,Open Shortest Path First IGP,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1249/,rtg,Routing Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rtg,rtg
/api/v1/doc/document/rfc3914/,3914,rfc3914,Open Pluggable Edge Services (OPES) Treatment of IAB Considerations,16,4973.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1515/,2004-10-05 23:28:19+00:00,opes,Open Pluggable Edge Services,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3926/,3926,rfc3926,FLUTE - File Delivery over Unidirectional Transport,35,11132.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1437/,2004-10-05 23:32:22+00:00,rmt,Reliable Multicast Transport,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1324/,tsv,Transport Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,tsv,tsv
/api/v1/doc/document/rfc3868/,3868,rfc3868,Signalling Connection Control Part User Adaptation Layer (SUA),131,33778.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1421/,2004-10-07 23:30:34+00:00,sigtran,Signaling Transport,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1683/,rai,Real-time Applications and Infrastructure Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rai,rai
/api/v1/doc/document/rfc3910/,3910,rfc3910,The SPIRITS (Services in PSTN requesting Internet Services) Protocol,50,14034.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1471/,2004-10-07 23:32:38+00:00,spirits,Service in the PSTN/IN Requesting InTernet Service,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1324/,tsv,Transport Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,tsv,tsv
/api/v1/doc/document/rfc3917/,3917,rfc3917,Requirements for IP Flow Information Export (IPFIX),33,11338.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1546/,2004-10-07 23:34:38+00:00,ipfix,IP Flow Information Export,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1193/,ops,Operations and Management Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,ops,ops
/api/v1/doc/document/rfc3898/,3898,rfc3898,Network Information Service (NIS) Configuration Options for Dynamic Host Configuration Protocol for IPv6 (DHCPv6),7,1631.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/988/,2004-10-08 23:38:56+00:00,dhc,Dynamic Host Configuration,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1052/,int,Internet Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,int,int
/api/v1/doc/document/rfc3909/,3909,rfc3909,Lightweight Directory Access Protocol (LDAP) Cancel Operation,7,1652.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/934/,2004-10-08 23:41:24+00:00,app,Applications Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3919/,3919,rfc3919,Remote Network Monitoring (RMON) Protocol Identifiers for IPv6 and Multi Protocol Label Switching (MPLS),8,1878.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1237/,2004-10-08 23:42:39+00:00,rmonmib,Remote Network Monitoring,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1193/,ops,Operations and Management Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,ops,ops
/api/v1/doc/document/rfc3932/,3932,rfc3932,The IESG and RFC Editor Documents: Procedures,8,2513.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/2/,2004-10-08 23:45:24+00:00,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,/api/v1/group/group/1/,ietf,IETF,/api/v1/name/grouptypename/ietf/,2004,ietf,ietf,ietf,ietf,Other
/api/v1/doc/document/rfc3906/,3906,rfc3906,Calculating Interior Gateway Protocol (IGP) Routes Over Traffic Engineering Tunnels,8,2725.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1619/,2004-10-11 22:55:55+00:00,rtgwg,Routing Area Working Group,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1249/,rtg,Routing Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rtg,rtg
/api/v1/doc/document/rfc3911/,3911,rfc3911,"The Session Initiation Protocol (SIP) ""Join"" Header",17,4734.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1462/,2004-10-22 21:37:45+00:00,sip,Session Initiation Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1683/,rai,Real-time Applications and Infrastructure Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rai,rai
