rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,complete_revision_count,first_recorded_submission,last_recorded_submission,family_draft_count,maximum_lineage_depth,final_draft_revision_count,predecessor_revision_count,recorded_development_days
/api/v1/doc/document/rfc6741/,6741,rfc6741,Identifier-Locator Network Protocol (ILNP) Engineering Considerations,2012-11-10 08:24:08+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-eng/,7,2012-01-10,2012-07-10,1,0,7,0,305
/api/v1/doc/document/rfc6742/,6742,rfc6742,DNS Resource Records for the Identifier-Locator Network Protocol (ILNP),2012-11-10 08:24:08+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-dns/,7,2012-01-10,2012-07-10,1,0,7,0,305
/api/v1/doc/document/rfc6743/,6743,rfc6743,ICMP Locator Update Message for the Identifier-Locator Network Protocol for IPv6 (ILNPv6),2012-11-10 08:24:09+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-icmpv6/,7,2012-01-10,2012-07-10,1,0,7,0,305
/api/v1/doc/document/rfc6744/,6744,rfc6744,IPv6 Nonce Destination Option for the Identifier-Locator Network Protocol for IPv6 (ILNPv6),2012-11-10 08:24:09+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-noncev6/,7,2012-01-10,2012-07-10,1,0,7,0,305
/api/v1/doc/document/rfc6745/,6745,rfc6745,ICMP Locator Update Message for the Identifier-Locator Network Protocol for IPv4 (ILNPv4),2012-11-10 08:24:09+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-icmpv4/,7,2012-01-10,2012-07-10,1,0,7,0,305
/api/v1/doc/document/rfc6746/,6746,rfc6746,IPv4 Options for the Identifier-Locator Network Protocol (ILNP),2012-11-10 08:24:09+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-v4opts/,7,2012-01-10,2012-07-10,1,0,7,0,305
/api/v1/doc/document/rfc6747/,6747,rfc6747,Address Resolution Protocol (ARP) for the Identifier-Locator Network Protocol for IPv4 (ILNPv4),2012-11-10 08:24:09+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-arp/,8,2012-01-14,2012-07-10,1,0,8,0,301
/api/v1/doc/document/rfc6748/,6748,rfc6748,Optional Advanced Deployment Scenarios for the Identifier-Locator Network Protocol (ILNP),2012-11-10 08:24:09+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-adv/,7,2012-01-14,2012-07-10,1,0,7,0,301
/api/v1/doc/document/rfc6749/,6749,rfc6749,The OAuth 2.0 Authorization Framework,2012-10-13 07:21:59+00:00,2012,/api/v1/doc/document/draft-ietf-oauth-v2/,34,2010-01-15,2012-08-01,2,1,32,2,1002
/api/v1/doc/document/rfc6750/,6750,rfc6750,The OAuth 2.0 Authorization Framework: Bearer Token Usage,2012-10-13 07:22:03+00:00,2012,/api/v1/doc/document/draft-ietf-oauth-v2-bearer/,23,2010-12-01,2012-08-01,1,0,23,0,682
