rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,first_recorded_draft_date,family_draft_count,maximum_lineage_depth,days_to_publication
/api/v1/doc/document/rfc4660/,4660,rfc4660,Functional Description of Event Notification Filtering,2006-09-26 23:16:13+00:00,2006,/api/v1/doc/document/draft-ietf-simple-event-filter-funct/,2004-02-06 08:00:00+00:00,1,0,963
/api/v1/doc/document/rfc4661/,4661,rfc4661,An Extensible Markup Language (XML)-Based Format for Event Notification Filtering,2006-09-26 23:15:15+00:00,2006,/api/v1/doc/document/draft-ietf-simple-filter-format/,2004-02-06 08:00:00+00:00,1,0,963
/api/v1/doc/document/rfc4662/,4662,rfc4662,A Session Initiation Protocol (SIP) Event Notification Extension for Resource Lists,2006-08-31 22:51:26+00:00,2006,/api/v1/doc/document/draft-ietf-simple-event-list/,2002-06-28 07:00:00+00:00,2,1,1525
/api/v1/doc/document/rfc4663/,4663,rfc4663,Transferring MIB Work from IETF Bridge MIB WG to IEEE 802.1 WG,2006-09-13 21:12:55+00:00,2006,/api/v1/doc/document/draft-harrington-8021-mib-transition/,2005-10-07 07:00:00+00:00,1,0,341
/api/v1/doc/document/rfc4664/,4664,rfc4664,Framework for Layer 2 Virtual Private Networks (L2VPNs),2006-09-30 21:25:20+00:00,2006,/api/v1/doc/document/draft-ietf-l2vpn-l2-framework/,2002-08-30 05:43:16+00:00,1,0,1492
/api/v1/doc/document/rfc4665/,4665,rfc4665,Service Requirements for Layer 2 Provider-Provisioned Virtual Private Networks,2006-09-30 21:25:27+00:00,2006,/api/v1/doc/document/draft-ietf-l2vpn-requirements/,2003-07-23 07:00:00+00:00,1,0,1165
/api/v1/doc/document/rfc4666/,4666,rfc4666,Signaling System 7 (SS7) Message Transfer Part 3 (MTP3) - User Adaptation Layer (M3UA),2006-09-20 23:43:04+00:00,2006,/api/v1/doc/document/draft-ietf-sigtran-rfc3332bis/,2002-03-27 08:00:00+00:00,3,1,1638
/api/v1/doc/document/rfc4667/,4667,rfc4667,Layer 2 Virtual Private Network (L2VPN) Extensions for Layer 2 Tunneling Protocol (L2TP),2006-09-30 21:25:37+00:00,2006,/api/v1/doc/document/draft-ietf-l2tpext-l2vpn/,2004-02-04 08:00:00+00:00,1,0,969
/api/v1/doc/document/rfc4668/,4668,rfc4668,RADIUS Authentication Client MIB for IPv6,2006-08-28 18:23:38+00:00,2006,/api/v1/doc/document/draft-ietf-radext-rfc2618bis/,2005-02-14 08:00:00+00:00,2,1,560
/api/v1/doc/document/rfc4669/,4669,rfc4669,RADIUS Authentication Server MIB for IPv6,2006-08-28 18:23:53+00:00,2006,/api/v1/doc/document/draft-ietf-radext-rfc2619bis/,2005-02-09 08:00:00+00:00,2,1,565
/api/v1/doc/document/rfc4670/,4670,rfc4670,RADIUS Accounting Client MIB for IPv6,2006-08-28 18:24:07+00:00,2006,/api/v1/doc/document/draft-ietf-radext-rfc2620bis/,2005-02-14 08:00:00+00:00,2,1,560
/api/v1/doc/document/rfc4671/,4671,rfc4671,RADIUS Accounting Server MIB for IPv6,2006-08-28 18:24:30+00:00,2006,/api/v1/doc/document/draft-ietf-radext-rfc2621bis/,2005-02-09 08:00:00+00:00,2,1,565
/api/v1/doc/document/rfc4672/,4672,rfc4672,RADIUS Dynamic Authorization Client MIB,2006-09-20 23:43:26+00:00,2006,/api/v1/doc/document/draft-ietf-radext-dynauth-client-mib/,2004-05-04 07:00:00+00:00,2,1,869
/api/v1/doc/document/rfc4673/,4673,rfc4673,RADIUS Dynamic Authorization Server MIB,2006-09-20 23:43:34+00:00,2006,/api/v1/doc/document/draft-ietf-radext-dynauth-server-mib/,2004-04-30 07:00:00+00:00,2,1,873
/api/v1/doc/document/rfc4674/,4674,rfc4674,Requirements for Path Computation Element (PCE) Discovery,2006-10-05 16:53:08+00:00,2006,/api/v1/doc/document/draft-ietf-pce-discovery-reqs/,2005-02-14 08:00:00+00:00,2,1,598
/api/v1/doc/document/rfc4675/,4675,rfc4675,RADIUS Attributes for Virtual LAN and Priority Support,2006-09-20 23:43:41+00:00,2006,/api/v1/doc/document/draft-ietf-radext-vlan/,2006-02-22 08:00:00+00:00,1,0,210
/api/v1/doc/document/rfc4676/,4676,rfc4676,Dynamic Host Configuration Protocol (DHCPv4 and DHCPv6) Option for Civic Addresses Configuration Information,2006-10-27 19:59:32+00:00,2006,/api/v1/doc/document/draft-ietf-geopriv-dhcp-civil/,2003-07-02 07:00:00+00:00,1,0,1213
/api/v1/doc/document/rfc4677/,4677,rfc4677,The Tao of IETF - A Novice's Guide to the Internet Engineering Task Force,2006-09-20 23:42:38+00:00,2006,/api/v1/doc/document/draft-hoffman-taobis/,2004-09-03 07:00:00+00:00,1,0,747
/api/v1/doc/document/rfc4678/,4678,rfc4678,Server/Application State Protocol v1,2006-09-30 21:25:46+00:00,2006,/api/v1/doc/document/draft-bivens-sasp/,2004-07-15 07:00:00+00:00,1,0,807
/api/v1/doc/document/rfc4679/,4679,rfc4679,DSL Forum Vendor-Specific RADIUS Attributes,2006-09-20 23:43:47+00:00,2006,/api/v1/doc/document/draft-mammoliti-radius-dsl-vsa/,2006-02-16 08:00:00+00:00,1,0,216
/api/v1/doc/document/rfc4680/,4680,rfc4680,TLS Handshake Message for Supplemental Data,2006-10-10 23:24:30+00:00,2006,/api/v1/doc/document/draft-santesson-tls-supp/,2006-03-29 08:00:00+00:00,1,0,195
/api/v1/doc/document/rfc4681/,4681,rfc4681,TLS User Mapping Extension,2006-10-10 23:24:26+00:00,2006,/api/v1/doc/document/draft-santesson-tls-ume/,2006-01-03 08:00:00+00:00,1,0,280
/api/v1/doc/document/rfc4682/,4682,rfc4682,Multimedia Terminal Adapter (MTA) Management Information Base for PacketCable- and IPCablecom-Compliant Devices,2006-12-22 21:56:51+00:00,2006,/api/v1/doc/document/draft-ietf-ipcdn-pktc-mtamib/,2002-10-28 08:00:00+00:00,1,0,1516
/api/v1/doc/document/rfc4683/,4683,rfc4683,Internet X.509 Public Key Infrastructure Subject Identification Method (SIM),2006-10-05 16:57:29+00:00,2006,/api/v1/doc/document/draft-ietf-pkix-sim/,2002-11-01 08:00:00+00:00,1,0,1434
/api/v1/doc/document/rfc4684/,4684,rfc4684,Constrained Route Distribution for Border Gateway Protocol/MultiProtocol Label Switching (BGP/MPLS) Internet Protocol (IP) Virtual Private Networks (VPNs),2006-11-15 00:22:46+00:00,2006,/api/v1/doc/document/draft-ietf-l3vpn-rt-constrain/,2004-06-02 07:00:00+00:00,1,0,895
/api/v1/doc/document/rfc4685/,4685,rfc4685,Atom Threading Extensions,2006-09-26 23:15:09+00:00,2006,/api/v1/doc/document/draft-snell-atompub-feed-thread/,2005-08-10 07:00:00+00:00,1,0,412
/api/v1/doc/document/rfc4686/,4686,rfc4686,Analysis of Threats Motivating DomainKeys Identified Mail (DKIM),2006-09-26 23:14:27+00:00,2006,/api/v1/doc/document/draft-ietf-dkim-threats/,2005-09-28 07:00:00+00:00,2,1,363
/api/v1/doc/document/rfc4687/,4687,rfc4687,Operations and Management (OAM) Requirements  for Point-to-Multipoint MPLS Networks,2006-09-26 23:14:06+00:00,2006,/api/v1/doc/document/draft-ietf-mpls-p2mp-oam-reqs/,2005-06-10 07:00:00+00:00,2,1,473
/api/v1/doc/document/rfc4688/,4688,rfc4688,A Uniform Resource Name (URN) Namespace for Aerospace and Defence Industries Association of Europe (ASD) Specification 1000D,2006-10-17 01:02:32+00:00,2006,/api/v1/doc/document/draft-rushing-s1000d-urn/,2005-11-07 08:00:00+00:00,1,0,343
/api/v1/doc/document/rfc4689/,4689,rfc4689,Terminology for Benchmarking Network-layer Traffic Control Mechanisms,2006-10-31 23:38:12+00:00,2006,/api/v1/doc/document/draft-ietf-bmwg-dsmterm/,2001-02-27 08:00:00+00:00,1,0,2072
/api/v1/doc/document/rfc4690/,4690,rfc4690,Review and Recommendations for Internationalized Domain Names (IDNs),2006-09-30 21:27:51+00:00,2006,/api/v1/doc/document/draft-iab-idn-nextsteps/,2005-12-02 08:00:00+00:00,1,0,302
/api/v1/doc/document/rfc4691/,4691,rfc4691,Guidelines for Acting as an IETF Liaison to Another Organization,2006-10-26 02:10:28+00:00,2006,/api/v1/doc/document/draft-iab-liaison-guidelines/,2005-10-14 07:00:00+00:00,1,0,376
/api/v1/doc/document/rfc4692/,4692,rfc4692,Considerations on the IPv6 Host Density Metric,2006-10-05 16:53:29+00:00,2006,/api/v1/doc/document/draft-huston-hd-metric/,2005-02-14 08:00:00+00:00,1,0,598
/api/v1/doc/document/rfc4693/,4693,rfc4693,IETF Operational Notes,2006-10-05 16:53:40+00:00,2006,/api/v1/doc/document/draft-alvestrand-ipod/,2006-02-21 08:00:00+00:00,1,0,226
/api/v1/doc/document/rfc4694/,4694,rfc4694,"Number Portability Parameters for the ""tel"" URI",2006-10-27 20:00:12+00:00,2006,/api/v1/doc/document/draft-ietf-iptel-tel-np/,2004-03-19 08:00:00+00:00,1,0,952
/api/v1/doc/document/rfc4695/,4695,rfc4695,RTP Payload Format for MIDI,2006-11-11 01:59:04+00:00,2006,/api/v1/doc/document/draft-ietf-avt-rtp-midi-format/,2001-10-02 07:00:00+00:00,2,1,1865
/api/v1/doc/document/rfc4696/,4696,rfc4696,An Implementation Guide for RTP MIDI,2006-11-11 01:59:18+00:00,2006,/api/v1/doc/document/draft-ietf-avt-rtp-midi-guidelines/,2002-10-29 08:00:00+00:00,2,1,1473
/api/v1/doc/document/rfc4697/,4697,rfc4697,Observed DNS Resolution Misbehavior,2006-10-27 20:00:00+00:00,2006,/api/v1/doc/document/draft-ietf-dnsop-bad-dns-res/,2001-11-14 08:00:00+00:00,1,0,1808
/api/v1/doc/document/rfc4698/,4698,rfc4698,IRIS: An Address Registry (areg) Type for the Internet Registry Information Service,2006-10-13 01:17:34+00:00,2006,/api/v1/doc/document/draft-ietf-crisp-iris-areg/,2002-08-15 07:00:00+00:00,1,0,1519
/api/v1/doc/document/rfc4701/,4701,rfc4701,A DNS Resource Record (RR) for Encoding Dynamic Host Configuration Protocol (DHCP) Information (DHCID RR),2006-10-26 02:10:17+00:00,2006,/api/v1/doc/document/draft-ietf-dnsext-dhcid-rr/,2000-07-24 07:00:00+00:00,1,0,2284
/api/v1/doc/document/rfc4702/,4702,rfc4702,The Dynamic Host Configuration Protocol (DHCP) Client Fully Qualified Domain Name (FQDN) Option,2006-10-26 02:10:37+00:00,2006,/api/v1/doc/document/draft-ietf-dhc-fqdn-option/,2000-07-21 07:00:00+00:00,1,0,2287
/api/v1/doc/document/rfc4703/,4703,rfc4703,Resolution of Fully Qualified Domain Name (FQDN) Conflicts among Dynamic Host Configuration Protocol (DHCP) Clients,2006-10-26 02:10:43+00:00,2006,/api/v1/doc/document/draft-ietf-dhc-ddns-resolution/,2000-07-24 07:00:00+00:00,1,0,2284
