rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,publication_year
/api/v1/doc/document/rfc5161/,5161,rfc5161,The IMAP ENABLE Extension,2008-03-10 14:08:42+00:00,/api/v1/doc/document/draft-gulbrandsen-imap-enable/,/api/v1/doc/document/draft-gulbrandsen-imap-enable/,0,draft-gulbrandsen-imap-enable,2008
/api/v1/doc/document/rfc5162/,5162,rfc5162,IMAP4 Extensions for Quick Mailbox Resynchronization,2008-03-10 14:09:11+00:00,/api/v1/doc/document/draft-ietf-lemonade-reconnect-client/,/api/v1/doc/document/draft-ietf-lemonade-reconnect-client/,0,draft-ietf-lemonade-reconnect-client,2008
/api/v1/doc/document/rfc5162/,5162,rfc5162,IMAP4 Extensions for Quick Mailbox Resynchronization,2008-03-10 14:09:11+00:00,/api/v1/doc/document/draft-ietf-lemonade-reconnect-client/,/api/v1/doc/document/draft-melnikov-imap-expunged/,1,draft-melnikov-imap-expunged,2008
/api/v1/doc/document/rfc5160/,5160,rfc5160,Considerations of Provider-to-Provider Agreements for Internet-Scale Quality of Service (QoS),2008-03-18 22:11:39+00:00,/api/v1/doc/document/draft-levis-provider-qos-agreement/,/api/v1/doc/document/draft-levis-provider-qos-agreement/,0,draft-levis-provider-qos-agreement,2008
/api/v1/doc/document/rfc5159/,5159,rfc5159,Session Description Protocol (SDP) Attributes for Open Mobile Alliance (OMA) Broadcast (BCAST) Service and Content Protection,2008-03-18 22:11:52+00:00,/api/v1/doc/document/draft-dondeti-oma-mmusic-sdp-attrs/,/api/v1/doc/document/draft-dondeti-oma-mmusic-sdp-attrs/,0,draft-dondeti-oma-mmusic-sdp-attrs,2008
/api/v1/doc/document/rfc5159/,5159,rfc5159,Session Description Protocol (SDP) Attributes for Open Mobile Alliance (OMA) Broadcast (BCAST) Service and Content Protection,2008-03-18 22:11:52+00:00,/api/v1/doc/document/draft-dondeti-oma-mmusic-sdp-attrs/,/api/v1/doc/document/draft-dondeti-oma-sip-sdp-attrs/,1,draft-dondeti-oma-sip-sdp-attrs,2008
/api/v1/doc/document/rfc5164/,5164,rfc5164,Mobility Services Transport: Problem Statement,2008-03-18 22:12:16+00:00,/api/v1/doc/document/draft-ietf-mipshop-mis-ps/,/api/v1/doc/document/draft-ietf-mipshop-mis-ps/,0,draft-ietf-mipshop-mis-ps,2008
/api/v1/doc/document/rfc5141/,5141,rfc5141,A Uniform Resource Name (URN) Namespace for the International Organization for Standardization (ISO),2008-03-21 23:32:41+00:00,/api/v1/doc/document/draft-goodwin-iso-urn/,/api/v1/doc/document/draft-goodwin-iso-urn/,0,draft-goodwin-iso-urn,2008
/api/v1/doc/document/rfc5145/,5145,rfc5145,Framework for MPLS-TE to GMPLS Migration,2008-03-21 23:33:00+00:00,/api/v1/doc/document/draft-ietf-ccamp-mpls-gmpls-interwork-fmwk/,/api/v1/doc/document/draft-ietf-ccamp-mpls-gmpls-interwork-fmwk/,0,draft-ietf-ccamp-mpls-gmpls-interwork-fmwk,2008
/api/v1/doc/document/rfc5145/,5145,rfc5145,Framework for MPLS-TE to GMPLS Migration,2008-03-21 23:33:00+00:00,/api/v1/doc/document/draft-ietf-ccamp-mpls-gmpls-interwork-fmwk/,/api/v1/doc/document/draft-shiomoto-ccamp-mpls-gmpls-interwork-fmwk/,1,draft-shiomoto-ccamp-mpls-gmpls-interwork-fmwk,2008
