rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,draft_uri,draft_name,draft_title,latest_rev,document_time,first_submission,chain_depth,selected_edge_score,is_final_draft
/api/v1/doc/document/rfc6861/,6861,rfc6861,"The ""create-form"" and ""edit-form"" Link Relations",2013-01-18 08:25:58+00:00,2013,/api/v1/doc/document/draft-ioseb-dzmanashvili-link-relation/,/api/v1/doc/document/draft-ioseb-dzmanashvili-link-relation/,draft-ioseb-dzmanashvili-link-relation,"The ""create-form"" and ""edit-form"" Link Relations",08,2013-03-12 19:07:46+00:00,2012-04-10 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6830/,6830,rfc6830,The Locator/ID Separation Protocol (LISP),2013-01-25 08:23:58+00:00,2013,/api/v1/doc/document/draft-ietf-lisp/,/api/v1/doc/document/draft-ietf-lisp/,draft-ietf-lisp,The Locator/ID Separation Protocol (LISP),24,2018-12-20 08:26:58+00:00,2009-05-26 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6831/,6831,rfc6831,The Locator/ID Separation Protocol (LISP) for Multicast Environments,2013-01-25 08:24:02+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-multicast/,/api/v1/doc/document/draft-ietf-lisp-multicast/,draft-ietf-lisp-multicast,The Locator/ID Separation Protocol (LISP) for Multicast Environments,14,2015-10-14 20:51:56+00:00,2009-05-26 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6831/,6831,rfc6831,The Locator/ID Separation Protocol (LISP) for Multicast Environments,2013-01-25 08:24:02+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-multicast/,/api/v1/doc/document/draft-farinacci-lisp-multicast/,draft-farinacci-lisp-multicast,LISP for Multicast Environments,01,2010-04-08 07:00:00+00:00,2008-04-28 00:00:00+00:00,1,0.7032810398924249,False
/api/v1/doc/document/rfc6832/,6832,rfc6832,Interworking between Locator/ID Separation Protocol (LISP) and Non-LISP Sites,2013-01-25 08:24:02+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-interworking/,/api/v1/doc/document/draft-ietf-lisp-interworking/,draft-ietf-lisp-interworking,Interworking between Locator/ID Separation Protocol (LISP) and Non-LISP Sites,06,2015-10-14 20:51:52+00:00,2009-05-26 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6832/,6832,rfc6832,Interworking between Locator/ID Separation Protocol (LISP) and Non-LISP Sites,2013-01-25 08:24:02+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-interworking/,/api/v1/doc/document/draft-lewis-lisp-interworking/,draft-lewis-lisp-interworking,Interworking LISP with IPv4 and IPv6,02,2010-04-08 07:00:00+00:00,2008-07-11 00:00:00+00:00,1,0.6014911463187325,False
/api/v1/doc/document/rfc6833/,6833,rfc6833,Locator/ID Separation Protocol (LISP) Map-Server Interface,2013-01-25 08:24:02+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-ms/,/api/v1/doc/document/draft-ietf-lisp-ms/,draft-ietf-lisp-ms,Locator/ID Separation Protocol (LISP) Map-Server Interface,16,2018-12-20 08:26:59+00:00,2009-05-26 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6833/,6833,rfc6833,Locator/ID Separation Protocol (LISP) Map-Server Interface,2013-01-25 08:24:02+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-ms/,/api/v1/doc/document/draft-fuller-lisp-ms/,draft-fuller-lisp-ms,LISP Map Server,00,2010-04-08 07:00:00+00:00,2009-03-02 00:00:00+00:00,1,0.5012519561815336,False
/api/v1/doc/document/rfc6834/,6834,rfc6834,Locator/ID Separation Protocol (LISP) Map-Versioning,2013-01-25 08:24:03+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-map-versioning/,/api/v1/doc/document/draft-ietf-lisp-map-versioning/,draft-ietf-lisp-map-versioning,Locator/ID Separation Protocol (LISP) Map-Versioning,09,2015-10-14 20:52:24+00:00,2010-09-28 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6835/,6835,rfc6835,The Locator/ID Separation Protocol Internet Groper (LIG),2013-01-25 08:24:03+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-lig/,/api/v1/doc/document/draft-ietf-lisp-lig/,draft-ietf-lisp-lig,The Locator/ID Separation Protocol Internet Groper (LIG),06,2015-10-14 20:52:07+00:00,2010-04-10 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6835/,6835,rfc6835,The Locator/ID Separation Protocol Internet Groper (LIG),2013-01-25 08:24:03+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-lig/,/api/v1/doc/document/draft-farinacci-lisp-lig/,draft-farinacci-lisp-lig,LISP Internet Groper (LIG),02,2010-02-09 08:00:00+00:00,2009-05-01 00:00:00+00:00,1,0.6132867132867132,False
/api/v1/doc/document/rfc6836/,6836,rfc6836,Locator/ID Separation Protocol Alternative Logical Topology (LISP+ALT),2013-01-25 08:24:03+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-alt/,/api/v1/doc/document/draft-ietf-lisp-alt/,draft-ietf-lisp-alt,Locator/ID Separation Protocol Alternative Logical Topology (LISP+ALT),10,2015-10-14 20:51:52+00:00,2009-05-26 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6836/,6836,rfc6836,Locator/ID Separation Protocol Alternative Logical Topology (LISP+ALT),2013-01-25 08:24:03+00:00,2013,/api/v1/doc/document/draft-ietf-lisp-alt/,/api/v1/doc/document/draft-fuller-lisp-alt/,draft-fuller-lisp-alt,LISP Alternative Topology (LISP+ALT),05,2010-04-08 07:00:00+00:00,2009-02-05 00:00:00+00:00,1,0.6506493506493506,False
/api/v1/doc/document/rfc6837/,6837,rfc6837,NERD: A Not-so-novel Endpoint ID (EID) to Routing Locator (RLOC) Database,2013-01-25 08:24:03+00:00,2013,/api/v1/doc/document/draft-lear-lisp-nerd/,/api/v1/doc/document/draft-lear-lisp-nerd/,draft-lear-lisp-nerd,NERD: A Not-so-novel Endpoint ID (EID) to Routing Locator (RLOC) Database,09,2015-10-14 20:51:47+00:00,2007-09-21 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6844/,6844,rfc6844,DNS Certification Authority Authorization (CAA) Resource Record,2013-01-26 08:23:23+00:00,2013,/api/v1/doc/document/draft-ietf-pkix-caa/,/api/v1/doc/document/draft-ietf-pkix-caa/,draft-ietf-pkix-caa,DNS Certification Authority Authorization (CAA) Resource Record,15,2020-01-21 08:32:21+00:00,2011-06-02 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6844/,6844,rfc6844,DNS Certification Authority Authorization (CAA) Resource Record,2013-01-26 08:23:23+00:00,2013,/api/v1/doc/document/draft-ietf-pkix-caa/,/api/v1/doc/document/draft-hallambaker-donotissue/,draft-hallambaker-donotissue,DNS Certification Authority Authorization (CAA) Resource Record,04,2012-01-12 08:00:00+00:00,2010-10-18 00:00:00+00:00,1,0.75,False
/api/v1/doc/document/rfc6846/,6846,rfc6846,RObust Header Compression (ROHC): A Profile for TCP/IP (ROHC-TCP),2013-01-26 08:23:23+00:00,2013,/api/v1/doc/document/draft-sandlund-rfc4996bis/,/api/v1/doc/document/draft-sandlund-rfc4996bis/,draft-sandlund-rfc4996bis,RObust Header Compression (ROHC): A Profile for TCP/IP (ROHC-TCP),02,2020-01-21 08:32:22+00:00,2012-03-05 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6852/,6852,rfc6852,Affirmation of the Modern Paradigm for Standards,2013-01-26 08:23:24+00:00,2013,/api/v1/doc/document/draft-iab-modern-paradigm/,/api/v1/doc/document/draft-iab-modern-paradigm/,draft-iab-modern-paradigm,Affirmation of the Modern Paradigm for Standards,01,2013-02-12 23:06:08+00:00,2012-09-06 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6852/,6852,rfc6852,Affirmation of the Modern Paradigm for Standards,2013-01-26 08:23:24+00:00,2013,/api/v1/doc/document/draft-iab-modern-paradigm/,/api/v1/doc/document/draft-housley-iab-affirm-modern-stds-paradigm/,draft-housley-iab-affirm-modern-stds-paradigm,Affirmation of the Modern Paradigm for Standards,00,2012-09-07 19:53:46+00:00,2012-08-31 00:00:00+00:00,1,0.9130434782608695,False
/api/v1/doc/document/rfc6850/,6850,rfc6850,Definitions of Managed Objects for Routing Bridges (RBridges),2013-01-29 08:23:57+00:00,2013,/api/v1/doc/document/draft-ietf-trill-rbridge-mib/,/api/v1/doc/document/draft-ietf-trill-rbridge-mib/,draft-ietf-trill-rbridge-mib,Definitions of Managed Objects for Routing Bridges (RBridges),10,2015-10-14 20:52:13+00:00,2010-09-03 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6850/,6850,rfc6850,Definitions of Managed Objects for Routing Bridges (RBridges),2013-01-29 08:23:57+00:00,2013,/api/v1/doc/document/draft-ietf-trill-rbridge-mib/,/api/v1/doc/document/draft-zebrose-trill-rbridge-mib/,draft-zebrose-trill-rbridge-mib,RBridges: TRILL Base MIB,00,2009-10-19 07:00:00+00:00,2009-10-19 00:00:00+00:00,1,0.5614692218350754,False
/api/v1/doc/document/rfc6851/,6851,rfc6851,Internet Message Access Protocol (IMAP) - MOVE Extension,2013-01-29 08:23:58+00:00,2013,/api/v1/doc/document/draft-ietf-imapmove-command/,/api/v1/doc/document/draft-ietf-imapmove-command/,draft-ietf-imapmove-command,Internet Message Access Protocol (IMAP) - MOVE Extension,05,2015-10-14 20:52:44+00:00,2012-06-28 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6851/,6851,rfc6851,Internet Message Access Protocol (IMAP) - MOVE Extension,2013-01-29 08:23:58+00:00,2013,/api/v1/doc/document/draft-ietf-imapmove-command/,/api/v1/doc/document/draft-gulbrandsen-imap-move/,draft-gulbrandsen-imap-move,The IMAP Move Extension,01,2024-09-24 23:12:03+00:00,2012-03-28 00:00:00+00:00,1,0.5265,False
/api/v1/doc/document/rfc6867/,6867,rfc6867,An Internet Key Exchange Protocol Version 2 (IKEv2) Extension to Support EAP Re-authentication Protocol (ERP),2013-01-29 08:23:58+00:00,2013,/api/v1/doc/document/draft-nir-ipsecme-erx/,/api/v1/doc/document/draft-nir-ipsecme-erx/,draft-nir-ipsecme-erx,An Internet Key Exchange Protocol Version 2 (IKEv2) Extension to Support EAP Re-authentication Protocol (ERP),11,2015-10-14 20:52:30+00:00,2011-05-01 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6820/,6820,rfc6820,Address Resolution Problems in Large Data Center Networks,2013-01-30 08:23:32+00:00,2013,/api/v1/doc/document/draft-ietf-armd-problem-statement/,/api/v1/doc/document/draft-ietf-armd-problem-statement/,draft-ietf-armd-problem-statement,Address Resolution Problems in Large Data Center Networks,04,2015-10-14 20:52:33+00:00,2011-10-17 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6820/,6820,rfc6820,Address Resolution Problems in Large Data Center Networks,2013-01-30 08:23:32+00:00,2013,/api/v1/doc/document/draft-ietf-armd-problem-statement/,/api/v1/doc/document/draft-narten-armd-problem-statement/,draft-narten-armd-problem-statement,Problem Statement for ARMD,00,2011-11-14 08:00:00+00:00,2011-07-04 00:00:00+00:00,1,0.6247760271856657,False
/api/v1/doc/document/rfc6838/,6838,rfc6838,Media Type Specifications and Registration Procedures,2013-01-30 08:23:33+00:00,2013,/api/v1/doc/document/draft-ietf-appsawg-media-type-regs/,/api/v1/doc/document/draft-ietf-appsawg-media-type-regs/,draft-ietf-appsawg-media-type-regs,Media Type Specifications and Registration Procedures,14,2015-10-14 20:52:39+00:00,2012-02-03 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6838/,6838,rfc6838,Media Type Specifications and Registration Procedures,2013-01-30 08:23:33+00:00,2013,/api/v1/doc/document/draft-ietf-appsawg-media-type-regs/,/api/v1/doc/document/draft-freed-media-type-regs/,draft-freed-media-type-regs,Media Type Specifications and Registration Procedures,01,2024-12-18 18:43:56+00:00,2011-06-13 00:00:00+00:00,1,0.9999999999999999,False
