rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,family_draft_count,maximum_lineage_depth,complete_revision_count,final_draft_revision_count,predecessor_draft_count,predecessor_revision_count
/api/v1/doc/document/rfc3495/,3495,rfc3495,Dynamic Host Configuration Protocol (DHCP) Option for CableLabs Client Configuration,2003-03-05 23:42:53+00:00,2003,/api/v1/doc/document/draft-ietf-dhc-packetcable/,1,0,7,7,0,0
/api/v1/doc/document/rfc3496/,3496,rfc3496,Protocol Extension for Support of Asynchronous Transfer Mode (ATM) Service Class-aware Multiprotocol Label Switching (MPLS) Traffic Engineering,2003-03-12 20:44:32+00:00,2003,/api/v1/doc/document/draft-malis-diff-te-serviceclass/,1,0,5,5,0,0
/api/v1/doc/document/rfc3497/,3497,rfc3497,RTP Payload Format for Society of Motion Picture and Television Engineers (SMPTE) 292M Video,2003-03-08 01:02:48+00:00,2003,/api/v1/doc/document/draft-ietf-avt-smpte292-video/,1,0,9,9,0,0
/api/v1/doc/document/rfc3498/,3498,rfc3498,Definitions of Managed Objects for Synchronous Optical Network (SONET) Linear Automatic Protection Switching (APS) Architectures,2003-03-07 23:02:20+00:00,2003,/api/v1/doc/document/draft-ietf-atommib-sonetaps-mib/,1,0,11,11,0,0
/api/v1/doc/document/rfc3501/,3501,rfc3501,INTERNET MESSAGE ACCESS PROTOCOL - VERSION 4rev1,2003-03-18 23:33:41+00:00,2003,/api/v1/doc/document/draft-crispin-imapv/,2,1,22,21,1,1
/api/v1/doc/document/rfc3502/,3502,rfc3502,Internet Message Access Protocol (IMAP) - MULTIAPPEND Extension,2003-03-18 23:35:07+00:00,2003,/api/v1/doc/document/draft-crispin-imap-multiappend/,1,0,8,8,0,0
/api/v1/doc/document/rfc3503/,3503,rfc3503,Message Disposition Notification (MDN) profile for Internet Message Access Protocol (IMAP),2003-03-18 23:36:35+00:00,2003,/api/v1/doc/document/draft-melnikov-imap-mdn/,1,0,6,6,0,0
/api/v1/doc/document/rfc3504/,3504,rfc3504,"Internet Open Trading Protocol (IOTP) Version 1, Errata",2003-03-14 00:19:36+00:00,2003,/api/v1/doc/document/draft-ietf-trade-iotp-v1-errata/,1,0,2,2,0,0
/api/v1/doc/document/rfc3505/,3505,rfc3505,Electronic Commerce Modeling Language (ECML): Version 2 Requirements,2003-03-14 00:21:20+00:00,2003,/api/v1/doc/document/draft-ietf-trade-ecml2-req/,1,0,6,6,0,0
/api/v1/doc/document/rfc3506/,3506,rfc3506,Requirements and Design for Voucher Trading System (VTS),2003-03-14 00:23:06+00:00,2003,/api/v1/doc/document/draft-ietf-trade-drt-requirements/,1,0,5,5,0,0
/api/v1/doc/document/rfc3507/,3507,rfc3507,Internet Content Adaptation Protocol (ICAP),2003-04-14 22:23:14+00:00,2003,/api/v1/doc/document/draft-elson-icap/,1,0,2,2,0,0
/api/v1/doc/document/rfc3508/,3508,rfc3508,H.323 Uniform Resource Locator (URL) Scheme Registration,2003-04-02 22:38:43+00:00,2003,/api/v1/doc/document/draft-levin-iptel-h323-url-scheme/,1,0,6,6,0,0
/api/v1/doc/document/rfc3509/,3509,rfc3509,Alternative Implementations of OSPF Area Border Routers,2003-04-07 21:59:00+00:00,2003,/api/v1/doc/document/draft-ietf-ospf-abr-alt/,1,0,6,6,0,0
/api/v1/doc/document/rfc3510/,3510,rfc3510,Internet Printing Protocol/1.1: IPP URL Scheme,2003-04-02 22:40:35+00:00,2003,/api/v1/doc/document/draft-ietf-ipp-url-scheme/,1,0,5,5,0,0
/api/v1/doc/document/rfc3511/,3511,rfc3511,Benchmarking Methodology for Firewall Performance,2003-04-14 22:25:01+00:00,2003,/api/v1/doc/document/draft-ietf-bmwg-firewall/,1,0,9,9,0,0
/api/v1/doc/document/rfc3512/,3512,rfc3512,Configuring Networks and Devices with Simple Network Management Protocol (SNMP),2003-04-04 18:02:34+00:00,2003,/api/v1/doc/document/draft-ietf-snmpconf-bcp/,1,0,13,13,0,0
/api/v1/doc/document/rfc3513/,3513,rfc3513,Internet Protocol Version 6 (IPv6) Addressing Architecture,2003-04-11 23:50:31+00:00,2003,/api/v1/doc/document/draft-ietf-ipngwg-addr-arch-v3/,1,0,11,11,0,0
/api/v1/doc/document/rfc3515/,3515,rfc3515,The Session Initiation Protocol (SIP) Refer Method,2003-04-11 00:12:24+00:00,2003,/api/v1/doc/document/draft-ietf-sip-refer/,1,0,8,8,0,0
/api/v1/doc/document/rfc3516/,3516,rfc3516,IMAP4 Binary Content Extension,2003-04-17 22:15:57+00:00,2003,/api/v1/doc/document/draft-nerenberg-imap-binary/,1,0,8,8,0,0
/api/v1/doc/document/rfc3517/,3517,rfc3517,A Conservative Selective Acknowledgment (SACK)-based Loss Recovery Algorithm for TCP,2003-04-11 00:14:56+00:00,2003,/api/v1/doc/document/draft-allman-tcp-sack/,1,0,14,14,0,0
/api/v1/doc/document/rfc3518/,3518,rfc3518,Point-to-Point Protocol (PPP) Bridging Control Protocol (BCP),2003-04-14 22:30:50+00:00,2003,/api/v1/doc/document/draft-ietf-pppext-rfc2878bis/,1,0,2,2,0,0
