publication_year,publishing_unit_id,figure_area,rfc_count,group_acronym,group_name,stream_slug,group_type_slug
2003,wg:/api/v1/group/group/1526/,ops,1,multi6,Site Multihoming in IPv6,ietf,wg
2003,wg:/api/v1/group/group/1578/,ops,1,v6ops,IPv6 Operations,ietf,wg
2003,wg:/api/v1/group/group/940/,ops,5,atommib,AToM MIB,ietf,wg
2003,wg:/api/v1/group/group/945/,ops,1,bmwg,Benchmarking Methodology,ietf,wg
2003,wg:/api/v1/group/group/1413/,rai,1,enum,Telephone Number Mapping,ietf,wg
2003,wg:/api/v1/group/group/1423/,rai,1,megaco,Media Gateway Control,ietf,wg
2003,wg:/api/v1/group/group/1462/,rai,7,sip,Session Initiation Protocol,ietf,wg
2003,wg:/api/v1/group/group/1542/,rai,2,sipping,Session Initiation Proposal Investigation,ietf,wg
2003,wg:/api/v1/group/group/1556/,rai,2,ieprep,Internet Emergency Preparedness,ietf,wg
2003,wg:/api/v1/group/group/941/,rai,10,avt,Audio/Video Transport,ietf,wg
2003,wg:/api/v1/group/group/1041/,rtg,1,idr,Inter-Domain Routing,ietf,wg
2003,wg:/api/v1/group/group/1102/,rtg,1,isis,IS-IS for IP Internets,ietf,wg
2003,wg:/api/v1/group/group/1132/,rtg,2,manet,Mobile Ad-hoc Networks,ietf,wg
2003,wg:/api/v1/group/group/1140/,rtg,8,mpls,Multiprotocol Label Switching,ietf,wg
2003,wg:/api/v1/group/group/1188/,rtg,4,ospf,Open Shortest Path First IGP,ietf,wg
2003,wg:/api/v1/group/group/1419/,rtg,1,msdp,Multicast Source Discovery Protocol,ietf,wg
2003,wg:/api/v1/group/group/1469/,rtg,2,l2tpext,Layer Two Tunneling Protocol Extensions,ietf,wg
2003,wg:/api/v1/group/group/1497/,rtg,1,ssm,Source-Specific Multicast,ietf,wg
2003,wg:/api/v1/group/group/1518/,rtg,2,forces,Forwarding and Control Element Separation,ietf,wg
2003,wg:/api/v1/group/group/1524/,rtg,4,ccamp,Common Control and Measurement Plane,ietf,wg
2003,wg:/api/v1/group/group/1091/,sec,4,ipsec,IP Security Protocol,ietf,wg
2003,wg:/api/v1/group/group/1223/,sec,2,pkix,Public-Key Infrastructure (X.509),ietf,wg
2003,wg:/api/v1/group/group/1258/,sec,3,smime,S/MIME Mail Security,ietf,wg
2003,wg:/api/v1/group/group/1326/,sec,1,tls,Transport Layer Security,ietf,wg
2003,wg:/api/v1/group/group/1420/,sec,1,idwg,Intrusion Detection Exchange Format,ietf,wg
2003,wg:/api/v1/group/group/1436/,sec,2,ipsp,IP Security Policy,ietf,wg
2003,wg:/api/v1/group/group/1442/,sec,1,xmldsig,XML Digital Signatures,ietf,wg
2003,wg:/api/v1/group/group/1453/,sec,2,ipsra,IP Security Remote Access,ietf,wg
2003,wg:/api/v1/group/group/1511/,sec,1,msec,Multicast Security,ietf,wg
2003,wg:/api/v1/group/group/1381/,tsv,1,malloc,Multicast-Address Allocation,ietf,wg
2003,wg:/api/v1/group/group/1388/,tsv,1,diffserv,Differentiated Services,ietf,wg
2003,wg:/api/v1/group/group/1427/,tsv,1,pilc,Performance Implications of Link Characteristics,ietf,wg
2003,wg:/api/v1/group/group/1474/,tsv,3,rohc,Robust Header Compression,ietf,wg
2003,wg:/api/v1/group/group/1485/,tsv,1,ips,IP Storage,ietf,wg
2003,wg:/api/v1/group/group/1525/,tsv,1,midcom,Middlebox Communication,ietf,wg
2003,wg:/api/v1/group/group/1537/,tsv,1,nsis,Next Steps in Signaling,ietf,wg
2003,wg:/api/v1/group/group/1152/,wit,1,nfsv4,Network File System Version 4,ietf,wg
2003,wg:/api/v1/group/group/1463/,wit,5,tsvwg,Transport and Services Working Group,ietf,wg
2004,stream:iab,Other,4,iab,Internet Architecture Board,iab,ietf
2004,stream:ietf-other,Other,49,int,Internet Area,ietf,area
2004,stream:ise,Other,23,gen,General Area,ise,area
2004,wg:/api/v1/group/group/1458/,Other,1,tewg,Internet Traffic Engineering,ietf,wg
2004,wg:/api/v1/group/group/1484/,Other,1,ipo,IP over Optical,ietf,wg
2004,wg:/api/v1/group/group/1568/,Other,1,nomcom,Operation of the IESG/IAB Nominating and Recall Committees,ietf,wg
2004,wg:/api/v1/group/group/1572/,Other,4,ipr,Intellectual Property Rights,ietf,wg
2004,wg:/api/v1/group/group/1585/,Other,2,problem,Problem Statement,ietf,wg
2004,wg:/api/v1/group/group/1054/,app,1,fax,Internet Fax,ietf,wg
2004,wg:/api/v1/group/group/1215/,app,1,printmib,Printer MIB,ietf,wg
2004,wg:/api/v1/group/group/1358/,app,1,webdav,WWW Distributed Authoring and Versioning,ietf,wg
2004,wg:/api/v1/group/group/1363/,app,1,ldapext,LDAP Extension,ietf,wg
2004,wg:/api/v1/group/group/1372/,app,4,msgtrk,Message Tracking Protocol,ietf,wg
2004,wg:/api/v1/group/group/1373/,app,1,ldup,LDAP Duplication/Replication/Update Protocols,ietf,wg
2004,wg:/api/v1/group/group/1395/,app,1,trade,Internet Open Trading Protocol,ietf,wg
2004,wg:/api/v1/group/group/1425/,app,5,impp,Instant Messaging and Presence Protocol,ietf,wg
2004,wg:/api/v1/group/group/1451/,app,5,vpim,Voice Profile for Internet Mail,ietf,wg
2004,wg:/api/v1/group/group/1515/,app,7,opes,Open Pluggable Edge Services,ietf,wg
2004,wg:/api/v1/group/group/1531/,app,6,provreg,Provisioning Registry Protocol,ietf,wg
2004,wg:/api/v1/group/group/1563/,app,1,crisp,Cross Registry Information Service Protocol,ietf,wg
2004,wg:/api/v1/group/group/1569/,app,4,xmpp-old,Extensible Messaging and Presence Protocol,ietf,wg
2004,wg:/api/v1/group/group/1138/,art,1,mmusic,Multiparty Multimedia Session Control,ietf,wg
2004,wg:/api/v1/group/group/1210/,int,2,pppext,Point-to-Point Protocol Extensions,ietf,wg
2004,wg:/api/v1/group/group/1428/,int,1,eap,Extensible Authentication Protocol,ietf,wg
2004,wg:/api/v1/group/group/1479/,int,4,dnsext,DNS Extensions,ietf,wg
2004,wg:/api/v1/group/group/1544/,int,2,magma,Multicast & Anycast Group Membership,ietf,wg
2004,wg:/api/v1/group/group/1547/,int,3,ipv6,IP Version 6 Working Group,ietf,wg
2004,wg:/api/v1/group/group/1570/,int,1,send,Securing Neighbor Discovery,ietf,wg
2004,wg:/api/v1/group/group/1596/,int,1,mip4,Mobility for IPv4,ietf,wg
2004,wg:/api/v1/group/group/1597/,int,2,mip6,Mobility for IPv6,ietf,wg
2004,wg:/api/v1/group/group/988/,int,5,dhc,Dynamic Host Configuration,ietf,wg
2004,wg:/api/v1/group/group/1089/,ops,1,ippm,IP Performance Measurement,ietf,wg
2004,wg:/api/v1/group/group/1118/,ops,1,mboned,MBONE Deployment,ietf,wg
2004,wg:/api/v1/group/group/1237/,ops,3,rmonmib,Remote Network Monitoring,ietf,wg
2004,wg:/api/v1/group/group/1396/,ops,2,adslmib,ADSL MIB,ietf,wg
2004,wg:/api/v1/group/group/1401/,ops,2,policy,Policy Framework,ietf,wg
2004,wg:/api/v1/group/group/1452/,ops,1,dnsop,Domain Name System Operations,ietf,wg
2004,wg:/api/v1/group/group/1480/,ops,1,snmpconf,Configuration Management with SNMP,ietf,wg
2004,wg:/api/v1/group/group/1546/,ops,2,ipfix,IP Flow Information Export,ietf,wg
2004,wg:/api/v1/group/group/1578/,ops,11,v6ops,IPv6 Operations,ietf,wg
2004,wg:/api/v1/group/group/1609/,ops,1,imss,Internet and Management Support for Storage,ietf,wg
2004,wg:/api/v1/group/group/940/,ops,2,atommib,AToM MIB,ietf,wg
2004,wg:/api/v1/group/group/945/,ops,1,bmwg,Benchmarking Methodology,ietf,wg
2004,wg:/api/v1/group/group/977/,ops,2,disman,Distributed Management,ietf,wg
2004,wg:/api/v1/group/group/1374/,rai,3,iptel,IP Telephony,ietf,wg
2004,wg:/api/v1/group/group/1413/,rai,3,enum,Telephone Number Mapping,ietf,wg
2004,wg:/api/v1/group/group/1421/,rai,4,sigtran,Signaling Transport,ietf,wg
2004,wg:/api/v1/group/group/1462/,rai,10,sip,Session Initiation Protocol,ietf,wg
2004,wg:/api/v1/group/group/1527/,rai,3,simple,SIP for Instant Messaging and Presence Leveraging Extensions,ietf,wg
2004,wg:/api/v1/group/group/1542/,rai,9,sipping,Session Initiation Proposal Investigation,ietf,wg
2004,wg:/api/v1/group/group/1543/,rai,3,geopriv,Geographic Location/Privacy,ietf,wg
2004,wg:/api/v1/group/group/1556/,rai,2,ieprep,Internet Emergency Preparedness,ietf,wg
2004,wg:/api/v1/group/group/941/,rai,3,avt,Audio/Video Transport,ietf,wg
2004,wg:/api/v1/group/group/1102/,rtg,5,isis,IS-IS for IP Internets,ietf,wg
