lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification
lineage_008230,draft-garciapardo-panrg-drkey,1,4,2021-02-22,2022-07-24,517.0,1.4154688569472964,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garciapardo-panrg-drkey,,2021-02-22,,,0,,,0,None,Individual / no recorded WG
lineage_008231,draft-garg-auto-delete-unused-te-tunnels,1,1,2026-04-15,2026-04-15,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garg-auto-delete-unused-te-tunnels,,2026-04-15,,,0,,,0,None,Individual / no recorded WG
lineage_008232,draft-garg-change,1,1,2026-03-16,2026-03-16,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garg-change,,2026-03-16,,,0,,,0,None,Individual / no recorded WG
lineage_008233,draft-garg-change-ext,1,1,2026-03-16,2026-03-16,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garg-change-ext,,2026-03-16,,,0,,,0,None,Individual / no recorded WG
lineage_008234,draft-garg-l2vpn-over-srv6,1,1,2026-04-14,2026-04-14,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garg-l2vpn-over-srv6,,2026-04-14,,,0,,l2vpn,1,Single candidate,Individual / no recorded WG
lineage_008235,draft-garneij-6man-nd-m2m-issues,1,1,2014-07-04,2014-07-04,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garneij-6man-nd-m2m-issues,,2014-07-04,,,0,,6man,1,Single candidate,Individual / no recorded WG
lineage_008236,draft-garneij-ipv6-deployment-terminology,1,3,2010-02-11,2010-08-30,200.0,0.5475701574264202,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garneij-ipv6-deployment-terminology,,2010-02-11,,,0,,ipv6,1,Single candidate,Individual / no recorded WG
lineage_008237,draft-garneij-ipv6-nd-m2m-issues,1,1,2014-02-14,2014-02-14,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garneij-ipv6-nd-m2m-issues,,2014-02-14,,,0,,ipv6,1,Single candidate,Individual / no recorded WG
lineage_008238,draft-garnero-rfb-websocket,1,1,2013-06-29,2013-06-29,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garnero-rfb-websocket,,2013-06-29,,,0,,,0,None,Individual / no recorded WG
lineage_008239,draft-garshol-applicationxtmxml,1,1,2009-12-03,2009-12-03,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garshol-applicationxtmxml,,2009-12-03,,,0,,,0,None,Individual / no recorded WG
lineage_008240,draft-garudadri-avt-3gpp2-mime,1,3,2004-07-16,2005-01-21,189.0,0.5174537987679672,1,1,RFC4393,draft-garudadri-avt-3gpp2-mime-02,draft-garudadri-avt-3gpp2-mime,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC4393,draft-garudadri-avt-3gpp2-mime-02,Transport Area,,0,0,0,,draft-garudadri-avt-3gpp2-mime,,,,0,,avt,1,Single candidate,No recorded WG
lineage_008241,draft-garvey-networking-rfc4777bis,1,3,2022-07-27,2023-11-21,482.0,1.319644079397673,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garvey-networking-rfc4777bis,,2022-07-27,,,0,,,0,None,Individual / no recorded WG
lineage_008242,draft-gashinsky-6man-v6nd-enhance,1,3,2012-01-08,2012-10-22,288.0,0.7885010266940452,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-gashinsky-6man-v6nd-enhance,,2012-01-08,,,0,,6man,1,Single candidate,Individual / no recorded WG
lineage_008243,draft-gashinsky-v6nd-enhance,1,1,2011-06-29,2011-06-29,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-gashinsky-v6nd-enhance,,2011-06-29,,,0,,,0,None,Individual / no recorded WG
lineage_008244,draft-gashinsky-v6ops-v6nd-problems;draft-ietf-v6ops-v6nd-problems,2,7,2011-10-06,2012-03-07,153.0,0.4188911704312115,1,1,RFC6583,draft-ietf-v6ops-v6nd-problems-05,draft-ietf-v6ops-v6nd-problems,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC6583,draft-ietf-v6ops-v6nd-problems-05,IPv6 Operations;Individual Submissions,v6ops,1,1,1,draft-gashinsky-v6ops-v6nd-problems,,2011-10-06,2011-10-24,v6ops,1,18.0,,0,None,Individual to Recorded WG
lineage_008245,draft-gasparini-ccamp-gmpls-g709-ospf,1,1,2002-11-08,2002-11-08,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-gasparini-ccamp-gmpls-g709-ospf,,2002-11-08,,,0,,ccamp;ospf,2,Ambiguous candidates,Individual / no recorded WG
lineage_008246,draft-gasparini-ccamp-gmpls-g709-ospf-isis,1,4,2001-07-02,2002-06-11,344.0,0.9418206707734429,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-gasparini-ccamp-gmpls-g709-ospf-isis,,2001-07-02,,,0,,ccamp;isis;ospf,3,Ambiguous candidates,Individual / no recorded WG
